"Time","GMSL (mm)","GMSL uncertainty (mm)"
1880.5,  -30.3,   24.2 
1881.5,  -24.7,   24.2 
1882.5,  -41.5,   23.0 
1883.5,  -36.2,   22.8 
1884.5,  -15.3,   22.2 
1885.5,  -16.8,   21.9 
1886.5,  -19.2,   20.8 
1887.5,  -24.8,   20.8 
1888.5,  -22.7,   20.8 
1889.5,  -21.1,   20.8 
1890.5,  -19.1,   20.7 
1891.5,  -20.8,   20.7 
1892.5,  -17.6,   20.7 
1893.5,  -12.9,   20.3 
1894.5,  -22.6,   21.6 
1895.5,  -10.8,   21.6 
1896.5,  -18.4,   21.2 
1897.5,  -13.2,   20.8 
1898.5,   -3.8,   19.7 
1899.5,    3.7,   19.4 
1900.5,   -1.7,   18.3 
1901.5,   -2.1,   17.6 
1902.5,    2.5,   17.3 
1903.5,   10.5,   17.0 
1904.5,    0.2,   16.9 
1905.5,   -5.3,   15.4 
1906.5,    1.5,   14.7 
1907.5,    0.1,   14.9 
1908.5,   -2.4,   14.5 
1909.5,    2.1,   14.6 
1910.5,    2.0,   14.6 
1911.5,   10.3,   14.2 
1912.5,    7.2,   14.2 
1913.5,    9.0,   14.1 
1914.5,   15.3,   13.8 
1915.5,   23.2,   13.6 
1916.5,   21.3,   13.0 
1917.5,   16.8,   12.8 
1918.5,   15.2,   12.7 
1919.5,   16.8,   12.7 
1920.5,   18.1,   13.0 
1921.5,   20.2,   13.1 
1922.5,   19.3,   13.2 
1923.5,   20.5,   13.0 
1924.5,   13.2,   13.1 
1925.5,   15.2,   13.6 
1926.5,   21.7,   13.7 
1927.5,   20.6,   12.9 
1928.5,   16.7,   12.3 
1929.5,   18.1,   12.1 
1930.5,   22.1,   12.0 
1931.5,   21.7,   12.2 
1932.5,   27.4,   11.9 
1933.5,   31.7,   11.8 
1934.5,   26.3,   11.9 
1935.5,   31.9,   11.9 
1936.5,   28.0,   11.8 
1937.5,   33.7,   11.8 
1938.5,   36.3,   11.8 
1939.5,   41.5,   12.2 
1940.5,   36.2,   11.1 
1941.5,   48.4,   10.8 
1942.5,   48.4,   10.8 
1943.5,   48.4,   10.8 
1944.5,   42.0,   10.7 
1945.5,   44.8,   10.7 
1946.5,   52.3,   10.6 
1947.5,   55.4,    9.6 
1948.5,   60.2,    9.3 
1949.5,   58.9,    8.4 
1950.5,   61.1,    7.9 
1951.5,   70.6,    7.8 
1952.5,   68.0,    7.7 
1953.5,   72.4,    7.5 
1954.5,   69.5,    7.3 
1955.5,   70.4,    7.1 
1956.5,   65.3,    7.0 
1957.5,   78.7,    6.9 
1958.5,   80.1,    6.6 
1959.5,   80.4,    6.5 
1960.5,   84.1,    6.6 
1961.5,   90.3,    6.6 
1962.5,   85.1,    6.6 
1963.5,   83.5,    6.6 
1964.5,   75.6,    6.7 
1965.5,   86.8,    6.7 
1966.5,   81.4,    6.6 
1967.5,   82.8,    6.5 
1968.5,   83.6,    6.7 
1969.5,   90.4,    7.0 
1970.5,   88.5,    7.0 
1971.5,   93.7,    6.9 
1972.5,  102.8,    6.9 
1973.5,   96.8,    6.8 
1974.5,  108.7,    6.8 
1975.5,  107.1,    6.7 
1976.5,  106.1,    6.8 
1977.5,  104.4,    6.6 
1978.5,  110.8,    6.7 
1979.5,  105.9,    6.7 
1980.5,  111.9,    6.5 
1981.5,  124.3,    6.5 
1982.5,  118.5,    6.3 
1983.5,  126.9,    6.5 
1984.5,  126.0,    6.3 
1985.5,  115.7,    6.3 
1986.5,  116.3,    6.3 
1987.5,  116.9,    6.2 
1988.5,  121.6,    6.3 
1989.5,  126.1,    6.4 
1990.5,  127.5,    6.3 
1991.5,  130.6,    6.3 
1992.5,  133.4,    6.4 
1993.5,  128.9,    6.4 
1994.5,  132.3,    6.4 
1995.5,  136.9,    6.7 
1996.5,  142.1,    6.7 
1997.5,  149.1,    6.7 
1998.5,  137.8,    6.9 
1999.5,  147.6,    6.9 
2000.5,  151.2,    7.0 
2001.5,  156.7,    6.9 
2002.5,  159.6,    6.9 
2003.5,  168.1,    7.0 
2004.5,  166.8,    6.9 
2005.5,  167.2,    6.9 
2006.5,  171.3,    6.9 
2007.5,  172.7,    7.1 
2008.5,  181.1,    6.8 
2009.5,  187.5,    6.8 
2010.5,  194.2,    6.9 
2011.5,  195.4,    6.9 
2012.5,  202.4,    6.9 
2013.5,  200.2,    6.9 
2014.5,  210.9,    7.1 
2015.5,  207.8,    7.1 
2016.5,  208.1,    7.2 
2017.5,  215.1,    7.5 
2018.5,  216.6,    7.9 
2019.5,  227.3,   11.4 
