Time,GMSL
1993-Jan,-1.6
1993-Feb,-3.4
1993-Mar,5.5
1993-Apr,0.1
1993-May,5.3
1993-Jun,0.2
1993-Jul,3.9
1993-Aug,0.2
1993-Sep,3.1
1993-Oct,-0.1
1993-Nov,0.5
1993-Dec,3.2
1994-Jan,2.9
1994-Feb,0.2
1994-Mar,9.3
1994-Apr,6.6
1994-May,2.7
1994-Jun,2.4
1994-Jul,1.5
1994-Aug,3.4
1994-Sep,-0.1
1994-Oct,3.4
1994-Nov,-3.5
1994-Dec,4.0
1995-Jan,2.3
1995-Feb,6.5
1995-Mar,6.9
1995-Apr,10.0
1995-May,2.5
1995-Jun,7.8
1995-Jul,0.7
1995-Aug,7.1
1995-Sep,5.0
1995-Oct,7.6
1995-Nov,3.1
1995-Dec,9.5
1996-Jan,0.1
1996-Feb,12.2
1996-Mar,7.5
1996-Apr,12.3
1996-May,11.2
1996-Jun,13.9
1996-Jul,13.4
1996-Aug,11.9
1996-Sep,10.8
1996-Oct,19.6
1996-Nov,15.6
1996-Dec,7.6
1997-Jan,10.8
1997-Feb,9.3
1997-Mar,15.0
1997-Apr,12.4
1997-May,17.6
1997-Jun,14.8
1997-Jul,21.5
1997-Aug,17.4
1997-Sep,24.2
1997-Oct,16.8
1997-Nov,20.3
1997-Dec,12.5
1998-Jan,20.8
1998-Feb,19.2
1998-Mar,25.9
1998-Apr,23.0
1998-May,25.0
1998-Jun,19.4
1998-Jul,24.6
1998-Aug,19.8
1998-Sep,21.7
1998-Oct,21.8
1998-Nov,20.5
1998-Dec,21.5
1999-Jan,22.7
1999-Feb,24.9
1999-Mar,20.6
1999-Apr,22.1
1999-May,18.8
1999-Jun,20.6
1999-Jul,19.8
1999-Aug,22.9
1999-Sep,18.0
1999-Oct,28.0
1999-Nov,17.9
1999-Dec,28.8
2000-Jan,22.4
2000-Feb,28.6
2000-Mar,24.5
2000-Apr,27.2
2000-May,20.7
2000-Jun,26.7
2000-Jul,20.0
2000-Aug,26.3
2000-Sep,23.0
2000-Oct,30.3
2000-Nov,24.1
2000-Dec,25.7
2001-Jan,26.9
2001-Feb,28.2
2001-Mar,30.4
2001-Apr,30.1
2001-May,29.0
2001-Jun,28.9
2001-Jul,32.5
2001-Aug,27.6
2001-Sep,34.8
2001-Oct,27.8
2001-Nov,32.6
2001-Dec,26.6
2002-Jan,32.2
2002-Feb,32.4
2002-Mar,32.2
2002-Apr,32.0
2002-May,33.8
2002-Jun,31.1
2002-Jul,35.3
2002-Aug,36.7
2002-Sep,32.8
2002-Oct,36.1
2002-Nov,32.2
2002-Dec,33.1
2003-Jan,34.5
2003-Feb,37.0
2003-Mar,36.6
2003-Apr,35.8
2003-May,36.4
2003-Jun,33.3
2003-Jul,34.2
2003-Aug,33.4
2003-Sep,37.7
2003-Oct,35.6
2003-Nov,34.5
2003-Dec,35.2
2004-Jan,39.1
2004-Feb,37.0
2004-Mar,39.3
2004-Apr,38.7
2004-May,37.2
2004-Jun,36.7
2004-Jul,38.4
2004-Aug,36.1
2004-Sep,39.0
2004-Oct,35.3
2004-Nov,35.3
2004-Dec,39.2
2005-Jan,38.1
2005-Feb,40.9
2005-Mar,42.5
2005-Apr,40.5
2005-May,41.4
2005-Jun,41.9
2005-Jul,40.9
2005-Aug,40.4
2005-Sep,40.6
2005-Oct,41.0
2005-Nov,43.6
2005-Dec,44.7
2006-Jan,40.1
2006-Feb,43.5
2006-Mar,42.8
2006-Apr,43.3
